description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
"A highly specialized school in Atherton, CA, Menlo College is a small private institution that focuses on matching the entrepreneurial spirit of its Silicon Valley home. <br>Menlo’s academics are geared toward preparing students for a career in business, as nearly all of its academic programs are business-related, the only exception being its psychology major. <br>More than half of Menlo students identify as non-white and 17% of the student body hails from a foreign country. <br>Internships are required for business majors and an Internship Seminar course reflecting on the experience is a graduation requirement. <br>Notable Menlo alumni include billionaire businessman John Pritzker and Saudi Prince Alwaleed bin Talal Al Saud.",433,Menlo College,CA,935,Suburban,125000.0,-122.197799,37.462488,http://https://www.menlo.edu,,Atherton,United States,California,West,,CA,Private not-for-profit,"Special Focus Four-Year: Arts, Music & Design Schools",17,935,935,8384028.0,98.0,98.0
"Augustana College in Rock Island, IL, is a liberal arts college that focuses on mentorship with advisors and exploration through professional opportunities.<br>The college offers around 80 majors and pre-professional programs. Biology is by far the most populous major. Topics in business and psychology are also popular programs.<br>Students have the opportunity to pursue research across any discipline in the field, a classroom, or a lab. Students are also encouraged to study abroad or complete an internship. Each year, the college gives the Augie Choice, a $2,000 fund, to around 550 students to complete one of these opportunities.<br>For the class of 2019, 98% of graduates reported being employed or enrolled in graduate school within six months of commencement.<br>There are around 200 clubs at the college for students to take part in, including 15 Greek life organizations.",434,Augustana College,IL,2611,Urban,104400.0,-90.547656,41.505249,http://augustana.edu,800-798-8100,Rock Island,United States,Illinois,Midwest,1860.0,IL,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,2611,2591,21620676.0,100.0,100.0
"La Salle University is a Catholic liberal arts institution in Philadelphia that aims to provide a well-rounded education for a diverse campus: Students of color constitute some 50% of the student body and 45% receive Pell Grants.<br> The university has 38 undergraduate fields of study and pre-professional programs. Nursing and marketing are among the most popular majors. <br>La Salle offers full-tuition merit scholarships for some first-year students, as well as a $5,000 scholarship for students who have shown dedication to community service. <br>There are about 175 clubs and organizations on campus, including 13 club sports, 17 honor societies and more than two dozen academic clubs. <br>The La Salle Explorers compete in 17 NCAA Division I sports teams. Since 1948, 16 La Salle University student athletes have appeared in the Olympics, three of whom earned gold medals.",435,La Salle University,PA,7082,Urban,116300.0,-75.152967,40.039295,http://www.lasalle.edu,215-951-1000,Philadelphia,United States,Pennsylvania,Northeast,1863.0,PA,Private not-for-profit,Master's Colleges & Universities: Larger Programs,13,7082,4116,15249334.0,98.0,96.0
"Founded in 1835, Albion College is a small private school in Albion, MI perhaps best known for its horses and its popular biology and physical education programs. <br>Albion’s Nancy G. Held Equestrian Center spans 340 acres and has capacity for 78 horses. Though the school has a varsity equestrian team, riding lessons are available to all students. <br>There are more than 100 student organizations at Albion, including Greek life. <br>Albion’s European ties are strong: the Albion athletic teams compete as the Britons, and the school’s two sister cities are both located in France. <br>Since 1990, 17 Fulbright scholars, four Truman Scholars, three Goldwater Scholars and one Rhodes Scholar have come from Albion.",436,Albion College,MI,1500,Rural,120300.0,-84.745039,42.243776,http://www.albion.edu,(517) 629-1000,Albion,United States,Michigan,Midwest,1835.0,MI,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,12,1500,1500,17907760.0,100.0,100.0
"Louisiana Tech University is a STEM-focused public research institution in Ruston, LA, a college town in the northwest part of the state. <br>Louisiana Tech does have a College of Liberal Arts, though STEM programs still dominate its academic scene. Biology, computer science and mechanical engineering are the most popular majors. <br>The Thingery is a makerspace located on campus and offers workshops on topics from 3D modeling to animation. <br>Each spring, Louisiana Tech hosts a new venture competition, with the top student entrepreneur teams earning the title of TOP DOG. <br>Pro Football Hall of Famer Terry Bradshaw and Duck Dynasty star Phil Robertson both went to Louisiana Tech.",437,Louisiana Tech University,LA,12768,Rural,107300.0,-92.639789,32.530501,http://www.latech.edu,318-257-3036,Ruston,United States,Louisiana,South,1894.0,LA,Public,Doctoral Universities: High Research Activity,23,12768,11268,22656637.0,99.0,98.0
"St. Edward’s University is a private institution founded by the Congregation of Holy Cross in Austin, TX. <br>Undergraduates can choose from over 50 majors, including pre-professional programs, as well as partner programs with other universities like Washington University in St. Louis. Popular programs include psychology, biology and business administration. <br>Approximately 90% of students engage in experiential learning before they graduate, and the university has 20 global partners for students to study abroad at. <br>Merit scholarships for freshmen range from $14,000 to $26,000 annually. In 2020–2021, 83% of freshmen received merit scholarships. The Moreau Scholarship awards full tuition for a student who graduated from a Holy Cross high school. <br>The university has produced 75 Fulbright Award winners since 2008.",438,St. Edward's University,TX,4324,Urban,109600.0,-97.758441,30.232525,http://www.stedwards.edu/contactus,(512) 448-8400,Austin,United States,Texas,South,1878.0,TX,Private not-for-profit,Master's Colleges & Universities: Larger Programs,14,4324,3615,21949918.0,98.0,98.0
"One of six senior military colleges in the nation, Norwich University has a famous school motto of ​​”I will try.” <br>Founded in 1819 in Norwich, VT, Norwich is the birthplace of ROTC. Today, two-thirds of residential students join the school’s Corps of Cadets. Twenty-five percent of students are female. <br>Norwich’s unique Studies In War and Peace (SWAP) major takes an interdisciplinary approach to analyzing conflicts. SWAP majors take classes in history, political science, economics, philosophy and more. <br>Norwich has Army, Navy and Air Force ROTC programs, organized in the College of National Service. <br>The aptly named Norwich Cadets field 20 varsity athletic teams. The Cadets are very successful in Division III, claiming 12 national championships.",439,Norwich University,VT,4792,Rural,112200.0,,,http://https://www.norwich.edu,,Northfield,United States,Vermont,Northeast,1819.0,VT,Private not-for-profit,Master's Colleges & Universities: Larger Programs,13,4792,3677,22375705.0,100.0,100.0
"Part of the City University of New York system, the College of Staten Island is located on the largest campus in New York City and provides students with learning and research opportunities. <br>Undergraduates can choose from over 50 majors. Popular programs include psychology, business, English and nursing. CSI also has another campus in Staten Island and a tech incubator. <br>CSI has state-of-the-art equipment and facilities in more than 70 science labs, including the CUNY High Performance Computing Center and the Center for Developmental Neuroscience and Developmental Disabilities. <br>Campus life is accented by more than 50 student organizations. More than half of undergraduates are from an underrepresented background, and the majority of students hail from Staten Island. <br>Merit-based scholarships are offered through the college’s special programs, including the Verrazzano School honors program and the Teacher Education Honors Academy for aspiring math and science middle and high school teachers.",440,"CUNY, College of Staten Island",NY,15464,Urban,105100.0,-74.1827119,40.5952146,http://www.csi.cuny.edu,718-982-2000 ,Staten Island,United States,New York,Northeast,1976.0,NY,Public,Master's Colleges & Universities: Larger Programs,20,15464,14247,17331207.0,89.0,89.0
"Berea College, located in Berea, KY, guarantees that no student at the college has to pay tuition through awarding a Tuition Promise Scholarship valued at almost $200,000 over four years. <br>Students at Berea are expected to participate in the work program at the college, where they work at least 10 hours per week throughout each regular term.<br>Out of 44 undergraduate fields of study, including the popular biology, computer science and industrial production technologies, there is an option to create a custom major.<br>About 93% of the class of 2019 graduates had studied abroad, fulfilled a paid internship, completed a service-learning course or participated in faculty-led research by the time they graduated.<br>Berea College has a number of performing arts clubs, including music and theatre groups. There are also several campus publications and many multicultural organizations.",441,Berea College,KY,1707,Rural,77300.0,-84.29296,37.570189,http://www.berea.edu,859-985-3000,Berea,United States,Kentucky,South,1855.0,KY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,1707,1707,20620440.0,100.0,100.0
"Central Connecticut State University is the state’s oldest publicly funded university, serving the community for over 170 years. <br>Undergraduates can choose from over 80 degree programs across four colleges and schools: Arts and Sciences, Business, Education and Professional Studies, and Engineering, Science and Technology. Computer science, business/marketing and education are the top majors. <br>CCSU has over 20 partnerships and exchanges in 17 countries and offers courses abroad in the winter, spring and summer sessions. CCSU also offers a six-month co-op employment program for students. <br>There are over 100 student organizations and NCAA Division I sports at the university. The majority of students hail from Connecticut, and less than a quarter live on campus. Campus is located about 15 minutes from Hartford, the state capital, and two hours from New York City and Boston. <br>More than 85% of CCSU graduates remain in Connecticut.",442,Central Connecticut State University,CT,13046,Suburban,103000.0,,,,,New Britain,United States,Connecticut,Northeast,,CT,Public,Master's Colleges & Universities: Larger Programs,14,13046,10321,6927477.0,89.0,77.0
"Located in Galloway Township, NJ, Stockton University is a public university spanning 1,600 acres in the Pinelands National Reserve.<br>Stockton University has 116 undergraduate areas of study across its seven schools. Health services is the most popular program, followed by business, psychology and criminology. <br>The university prides itself on the Stockton University Foundation, a merit scholarship program with around 200 scholarships. The Stockton Promise covers the gap between aid and the cost of tuition and fees for full-time in-state students who have a gross income below $65,000 and a family contribution of $15,000 or less.<br>About 13% of undergraduates are members of 28 fraternity and sorority chapters at the school. The Stockton Ospreys compete in 17 varsity NCAA Division III teams.",443,Stockton University,NJ,11925,Suburban,95700.0,-74.4642861,39.4728755,http://www.stockton.edu,609-652-1776,Galloway,United States,New Jersey,Northeast,1971.0,NJ,Public,Master's Colleges & Universities: Larger Programs,18,11925,10727,12426745.0,91.0,80.0
"A member of the State University of New York system in remote Cortland, NY, SUNY Cortland is dedicated to producing the next generation of teachers. <br>SUNY Cortland was founded as a normal school in 1868 and was exclusively a teacher’s college until 1961. <br>Today, more than a quarter of students major in education and SUNY Cortland produces the most number of teacher certification candidates in New York State. <br>95% of SUNY Cortland students are from New York, though the university offers grants of up to $7,500 annually to attract out-of-state and international students. <br>The school’s unique Red Dragons nickname draws its inspiration from Mobil’s old flying red-horse logo, suggested by a football team manager in 1933.",444,SUNY Cortland,NY,7657,Rural,92200.0,-76.18450969999999,42.607935,http://cortland.edu,,Cortland,United States,New York,Northeast,1868.0,NY,Public,Master's Colleges & Universities: Larger Programs,16,7657,6923,6897909.0,85.0,69.0
"<p>Hillsdale College in rural Hillsdale, MI, is a small, private Christian college that prides itself on the liberal arts and institutional independence. </p><p>Hillsdale’s liberal arts core emphasizes the Western tradition, including great books, science, math, theology and the U.S. Constitution. Students can choose from over 30 majors, including pre-professional programs in law, engineering, theology and ministry, and health sciences.</p>Although it is a Christian institution, the college does not have a chapel requirement and is open to students of all faiths. Hillsdale emphasizes self-governance, and incoming students are required to sign an honor code dedicated to this principle. <br>Because the college does not accept federal or state taxpayer subsidies, students cannot receive federal financial aid. The college provides its own aid packages, all of which are privately funded. <br>About 98% of the Class of 2020 were employed, continuing their education, volunteering or serving in the military.",445,Hillsdale College,MI,1685,Rural,,-84.633435,41.931398,http://www.hillsdale.edu,517-607-2327,Hillsdale,United States,Michigan,Midwest,1844.0,MI,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,1685,1619,6921210.0,98.0,97.0
"One of six senior military colleges in the U.S., the University of North Georgia operates five campuses across the northern part of the state, with a main campus in Dahlonega. <br>The university operates a large Army ROTC program, and UNG’s Corps of Cadets is known as the Boar’s Head Brigade. <br>Biology, management and criminal justice are among UNG’s most popular majors. <br>Niche named UNG one of the most conservative colleges in the nation, and the university is home to the Politically Incorrect Club, as well as chapters of the College Democrats and College Republicans. <br>Over the last five years, UNG has graduated more than 600 commissioned cadets.",446,University of North Georgia,GA,23141,Rural,97200.0,-83.986084,34.531943,http://www.ung.edu,678-717-2377,Dahlonega,United States,Georgia,South,2013.0,GA,Public,Master's Colleges & Universities: Medium Programs,19,23141,22283,19065017.0,93.0,93.0
"Wentworth Institute of Technology is a technical school with a 31-acre campus in Boston’s Fenway neighborhood. <br>Construction management is Wentworth’s most popular major. The program’s curriculum includes elements of business administration, mathematics, chemistry and design to prepare students for the construction industry. <br>Wentworth’s academic philosophy is centered on hands-on learning, and there are more than 60 laboratories, studios and maker spaces on campus. <br>All undergraduates must complete two co-ops, and 57% of students were offered full-time jobs by their co-op employer. <br>Wentworth graduates earn higher salaries than their counterparts at peer institutions, reporting an average early-career salary of $64,100.",447,Wentworth Institute of Technology,MA,5456,Urban,121600.0,-71.057876,42.353213,http://https://wit.edu,,Boston,United States,Massachusetts,Northeast,,MA,Private not-for-profit,Master's Colleges & Universities: Medium Programs,16,5456,5290,14967728.0,100.0,100.0
"Mount St. Mary's University is a private, Catholic liberal arts university in Emmitsburg, Maryland. Students can choose from 80 different majors, and the university offers more than 25 programs for adult students. When they are not studying, students can enjoy the mountainous campus and participate in more than 70 clubs, societies and organizations.",448,Mount St. Mary's University (MD),MD,2649,Rural,108300.0,,,,,Emmitsburg,United States,Maryland,Northeast,,MD,Private not-for-profit,Master's Colleges & Universities: Medium Programs,14,2649,2084,15284025.0,100.0,100.0
"John Brown University is a private institution in Siloam Springs, AK, that provides students with a Christ-centered education. <br>JBU offers over 50 undergraduate majors, including new majors in humanitarian and disaster relief, economics and integrated marketing communications. Popular programs include nursing, psychology and kinesiology. JBU Online allows students with no prior college credit to earn their bachelor's degree online. <br>JBU has a study abroad program in Belfast, Ireland, where it owns its own manor. On campus, students are required to attend a set number of chapel services and sign a Community Covenant that outlines lifestyles in accordance with the Bible. <br>High-achieving students are invited to interview for competitive scholarships—the Presidential Scholarship, worth $27,500, and the Chancellor’s Scholarship, worth $14,000. Merit scholarships based on high school GPA and test scores range from $5,000 to $12,000. <br>Approximately 85% of the Class of 2020 was employed, in graduate school, in the military or volunteering within six months of graduating.",449,John Brown University,AR,2749,Rural,87800.0,-94.558494,36.18726,http://www.jbu.edu,479-524-9500,Siloam Springs,United States,Arkansas,South,1919.0,AR,Private not-for-profit,Master's Colleges & Universities: Medium Programs,14,2749,2066,6085158.0,100.0,100.0
"Brigham-Young University, Hawaii, is a private university owned and operated by the Church of Jesus Christ of Latter-day Saints. The university offers degree programs in elementary education, Hawaiian studies, hospitality and tourism management, physics, social work and more. All students and faculty members are required to adhere to an honor code that prohibits cheating and academic dishonesty, as well as enforces rules about chastity, dress, grooming, drugs and alcohol. Many students work part-time while earning their degree, and in their free time, students can participate in 42 clubs and organizations and enjoy the 100-acre tropical campus. The university provides on-campus housing for single and married students. ",450,Brigham Young University-Hawaii,HI,3583,Rural,109800.0,,,,,Laie,United States,Hawaii,West,,HI,Private not-for-profit,Baccalaureate Colleges: Diverse Fields,16,3583,3583,2083561.0,79.0,71.0
"University of Wisconsin, Platteville is a public university with specializations in STEM and agriculture that prides itself on student-centered experiences. <br>Undergraduates can choose from over 50 majors, as well as pre-professional and online programs. Popular programs include mechanical engineering, criminal justice and industrial technology management. The university also has two other campuses in Baraboo Sauk County and Richland. <br>About 90% of students participate in at least one internship, co-op, or experiential learning experience before graduating. <br>The highly competitive Chancellor’s Scholarship awards up to full tuition and fees, and students from diverse backgrounds are eligible for an annual $2,500 scholarship. The Pioneer Pledge guarantees that room and board is covered for incoming freshmen who are Wisconsin residents and are Pell Grant-eligible. <br>Over 90% of graduates remain in the Midwest.",451,University of Wisconsin-Platteville,WI,9403,Rural,106700.0,,,,,Platteville,United States,Wisconsin,Midwest,,WI,Public,Master's Colleges & Universities: Larger Programs,21,9403,8325,4078729.0,91.0,82.0
"St. John’s College in Annapolis, MD is known for its unique liberal arts curriculum focused on the most important books and ideas of Western civilization. <br>The college offers a bachelor’s degree in the liberal arts, as well as combined degrees in eastern classics, liberal arts and law. Rather than majors, students study subjects, including philosophy, theology, natural sciences, history, Greek, French, mathematics, music and arts. All classes are conducted seminar-style with 20 or fewer students. <br>Arts and culture are a large part of campus life, from the Freshman Chorus, a mandatory singing group, to Collegium, a tradition that gives students and faculty an opportunity to show off their musical talents. <br>The college provides $4,000 stipends for unpaid summer internshipsTuition has been held flat at $35,000 since 2019, and merit scholarships can range up to full tuition. <br>Approximately three-quarters of alumni are employed within six months of graduation. ",452,"St. John's College, Annapolis",MD,599,Suburban,120300.0,-76.489934,38.9767,http://stjohnscollege.edu,410-263-2371,Annapolis,United States,Maryland,Northeast,1784.0,MD,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,599,500,2247971.0,98.0,93.0
"The University of Evansville is a private university in Evansville, IN that enhances its intimate community through hands-on learning experiences. <br> Students can choose from over 80 areas of study. Popular programs include exercise science, nursing and health services administration. The university launched the UE Music Conservatory in Fall 2021. <br> The university has a center called Harlaxton College in Gratham, England, as well as study abroad programs in over 50 countries. On campus, there are more than 120 student organizations, and about one-quarter of the student body is involved in Greek life. <br> Prospective students who visit campus are eligible for an annual $1,000 scholarship. The Aces Opportunity Grant guarantees that Indiana residents whose family’s adjusted gross income is less than $50,000 do not have to pay tuition out of pocket. <br> Approximately 91% of 2020 graduates were employed or in graduate school within six months of graduating.",453,University of Evansville,IN,2690,Urban,104700.0,-87.532332,37.969957,http://www.evansville.edu,800-423-8633,Evansville,United States,Indiana,Midwest,1854.0,IN,Private not-for-profit,Master's Colleges & Universities: Small Programs,10,2690,2355,12432628.0,100.0,100.0
"Located outside of Atlanta, GA, Agnes Scott College is an innovative women’s college with an experiential learning-based liberal arts core. <br>The college offers close to 40 undergraduate majors, as well as programs in pre-health and pre-law. Psychology, biology and neuroscience are among the popular programs. Agnes Scott is part of the Atlanta Regional Council for Higher Education institution, allowing students to cross-register at any of the 18 other member colleges. <br>Students take advantage of hands-on experiences at Agnes Scott; all first-year students engage in global immersion as part of the lliberal arts curriculum, and about half study abroad again. On average, 70% of students complete an internship and 36% are involved in research. <br>The tight-knit community comes together through its 60 student organizations and wealth of traditions, including the sophomore ring ceremony. More than 80% of students are involved in community service. <br>As a women’s college, Agnes Scott admits students who were assigned female at birth, as well as those who were assigned male or female at birth but who now identify as female, transgender, agender, gender fluid or non-binary. <br>New for Fall 2022, all incoming students will receive the Agnes Assurance Scholarship, worth $22,000 annually, or a merit scholarship in a higher amount up to $26,000 annually. The college also offers awards covering the cost of attendance through Presidential Scholarships, and for Hispanic students through the Goizueta Scholarship.",454,Agnes Scott College,GA,1166,Suburban,91500.0,-84.295486,33.770045,http://www.agnesscott.edu,404-471-6285,Decatur,United States,Georgia,South,1889.0,GA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,1166,1081,10138800.0,100.0,100.0
"The University of South Dakota, a public university with a small-college feel in Vermillion, SD, is the oldest, and the only, public liberal arts university in the state. With a student-faculty ratio of 16:1, USD offers a personalized education across 205 programs, including business, education and health. Under a program approved by the South Dakota Board of Regents, children of USD alumni can pay in-state tuition for their undergraduate degrees regardless of where they live. The University encourages its students  to engage with the community through Paw Points, a system that rewards the most involved students on campus for attending university events. USD boasts a network of more than 70,000 alumni, with graduates who have won Nobel Prizes, established national newspapers and held positions in network news.",455,University of South Dakota,SD,12276,Rural,93100.0,-96.925776,42.78251,http://www.usd.edu,1-877-269-6837,Vermillion,United States,South Dakota,Midwest,1862.0,SD,Public,Doctoral Universities: High Research Activity,15,12276,9126,5109281.0,92.0,80.0
"Goucher College is a liberal arts institution in Baltimore, MD, that strives to give every student a globalized education. The college requires all students who entered as a first-year student to complete a study abroad program. <br>There are 30 majors at the college. During their final year, undergraduates must complete a capstone class or a project within their major. Through this process, students are encouraged to develop a portfolio to showcase in a symposium.<br>There are more than 60 student clubs on campus, such as religious organizations, service groups, and unique clubs such as the Historic European Martial Arts Club. <br>Goucher holds many traditions on campus, such as Get Into Goucher day and a spring celebration for academic achievement and the arts. Students can also take advantage of several networking opportunities, such as Coffee Chats with alumni.<br>In the 2019-20 academic year, 97% of students received financial aid and applicants are automatically considered for merit scholarships of up to $35,000.",456,Goucher College,MD,2742,Urban,107100.0,-76.600643,39.409412,http://www.goucher.edu,410-337-6100,Baltimore,United States,Maryland,Northeast,1885.0,MD,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2742,1490,11492019.0,100.0,100.0
"Embry-Riddle Aeronautical University-Worldwide is the online learning system for Embry-Riddle Aeronautical University, and offers virtual and in-person education for students that need a flexible schedule. The university serves many active military members and veterans, and offers a 4-plus-1 degree program option, which allows students to earn a bachelor’s and masters degree in five years. Undergraduate students can choose from a variety of majors, including homeland security, aeronautics, and technical management. ",457,"Embry-Riddle Aeronautical University, Worldwide",FL,20829,Urban,100700.0,,,,,Daytona Beach,United States,Florida,South,,FL,Private not-for-profit,Special Focus Four-Year: Other Technology-Related Schools,20,20829,15867,284531.0,69.0,67.0
"A large, public land-grant university in Las Cruces, NM, New Mexico State University is one of the state’s two public flagship institutions.<br>Undergraduates at NMSU can choose from close to 100 majors, with extensive offerings in agriculture, animal sciences and environmental studies. The school also offers majors in a wide range of professional fields like hotel management.<br>NMSU has extensive cultural and recreational offerings on campus, including art galleries, a theater and an 18-hole golf course.<br>New Mexico residents that meet certain GPA and standardized testing thresholds are eligible for the President’s Associates Excellence scholarship, which provides full tuition.<br>Notable NMSU graduates include former New Mexico Governor Garrey Carruthers and Starbucks CEO Kevin Johnson.",458,New Mexico State University,NM,16064,Suburban,103500.0,-106.752689,32.27521,http://www.nmsu.edu,575-646-0111,Las Cruces,United States,New Mexico,West,1888.0,NM,Public,Doctoral Universities: High Research Activity,16,16064,12979,24554327.0,99.0,98.0
"Located in the heart of Detroit, MI, Wayne State University utilizes its urban location to provide students with robust academic, research and extracurricular experiences. <br>Undergraduates can choose from over 80 degrees across eight colleges and schools. WSU also has satellite campuses throughout Southeast Michigan and online programs. <br>WSU is one of 10 public urban universities to receive the highest Carnegie Foundation rating for research intensiveness and community engagement. The university has research partnerships with Michigan State University and the University of Michigan, and in 2020, boasted over $300 million in research awards. <br>Wayne has tuition pledge programs for Detroit high school graduates and low-income students that guarantee zero out-of-pocket expenses for tuition and fees. <br>More than 1,900 new jobs have been created through TechTown, Wayne State's research park and business incubator. Over half of employed graduates remain in Michigan.",459,Wayne State University,MI,30841,Urban,99000.0,-83.064949,42.356791,http://wayne.edu,313-577-2424,Detroit,United States,Michigan,Midwest,1868.0,MI,Public,Doctoral Universities: Very High Research Activity,15,30841,20110,27353974.0,98.0,97.0
"One of two public honors colleges in the country, St. Mary's College of Maryland is a small school 75 miles southeast of Washington, D.C. <br>St. Mary’s academics are guided by the “Learning Through Experiential and Applied Discovery” (LEAD) principle. LEAD entails a core curriculum, study of a foreign language and a capstone project. <br>Campus is home to a 100-seat movie theater, fire pits, a climbing wall and a 50-meter swimming pool. <br>The St Mary’s River is immediately to the west of campus, and students can enjoy waterfront views from their dorm rooms and free access to kayaks, paddleboards and windsurfing equipment. <br>Nearly 40% of the Class of 2020 studied abroad.",460,St. Mary's College of Maryland,MD,1611,Suburban,109900.0,-77.268219,38.817598,http://www.smcm.edu,240-895-2000,St. Mary's City,United States,Maryland,Northeast,1840.0,MD,Public,Baccalaureate Colleges: Arts & Sciences Focus,9,1611,1587,3144536.0,96.0,95.0
"Saint Vincent College, a liberal arts college in Latrobe, PA, founded in 1846, is the first Benedictine college in the United States. With an 11:1 student-faculty ratio, St. Vincent provides a personalized education that allows its students to explore more than 50 undergraduate majors and 11 graduate, doctorate and certificate programs. Saint Vincent offers merit scholarships valued from hundreds of dollars to full rides. The college has more than 50 different clubs and organizations and 23 sports teams competing in Division III athletics. St. Vincent has a retention rate of 82%, and 77% of its students graduate in 6 years.",461,Saint Vincent College,PA,1878,Suburban,103900.0,-79.400921,40.291273,http://www.stvincent.edu,724-532-6600,Latrobe,United States,Pennsylvania,Northeast,1846.0,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,1878,1637,10475019.0,100.0,100.0
"The University of New Hampshire at Manchester is the University of New Hampshire’s second, urban campus. The university boasts a 12-to-1 student to faculty ratio and 97 percent of classes have fewer than 30 students. Nine in ten students receive some kind of financial aid. Students can pursue degrees in dozens of fields, including business, computer science, entrepreneurship and public health.",462,"University of New Hampshire, Manchester",NH,1592,Urban,94100.0,,,,,Manchester,United States,New Hampshire,Northeast,,NH,Public,Baccalaureate Colleges: Arts & Sciences Focus,10,1592,1206,728000.0,93.0,92.0
"Wheaton College in Norton, MA, is a small liberal arts college that prides itself on a personalized education and co-curricular experiences. <br>Students can choose from over 100 majors and minors. Popular programs include business, psychology and biology. Wheaton also offers dual degree programs in engineering and communications with nearby institutions. <br>Wheaton stresses global education: About half of students study abroad, and Wheaton was the first college in the world to offer a study abroad program in Bhutan. <br>There are over 100 student organizations on campus. Students can also engage with each other through theme houses, where residence is based around shared interests like the outdoors or politics. <br>Six months after graduation, 97% of alumni in the five most recent classes were employed, pursuing further education or participating in internships, fellowships or service opportunities.",463,Wheaton College (MA),MA,1807,Suburban,107800.0,-71.185197,41.968482,http://wheatoncollege.edu,(508) 286-8200,Norton,United States,Massachusetts,Northeast,1834.0,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,1807,1807,18751218.0,100.0,99.0
"Abilene Christian University in Abilene, TX, is a private university that educates students for Christan service and leadership. <br>Undergraduates can choose from over 70 majors in the arts and sciences, business, education, nursing and biblical studies. ACU has a satellite campus in Addison, TX, which serves as the hub to the university’s online programs. <br>ACU offers study abroad opportunities with its faculty in Oxford, England; Montevideo, Uruguay; and Leipzig, Germany, and about 40% of students learn internationally.  The university also provides faculty-guided funding to promote undergraduate research, up to $10,000. <br>Spiritual formation is a cornerstone of the ACU experience, and students are required to attend daily chapel services and practice Christian values, like chastity outside of marriage. Students also get involved in more than 100 student organizations, including Greek life, and global and domestic missions. <br>ACU has a block tuition system in which students can take up to 36 hours across the fall, spring and summer sessions for one price. Automatic merit awards range from $10,000 to $19,000 annually.",464,Abilene Christian University,TX,6058,Urban,103100.0,-99.708039,32.47982,http://www.acu.edu,800-460-6228,Abilene,United States,Texas,South,1906.0,TX,Private not-for-profit,Master's Colleges & Universities: Larger Programs,13,6058,3755,20666643.0,100.0,100.0
"The CUNY Graduate School and University Center is a public research institution and postgraduate school in the City University of New York system. The school, located in the heart of New York City opposite the Empire State Building, offers degree programs in astrophysics, data science, middle eastern studies and more. Students can participate in the doctoral and graduate students counsel—the primary governing organization at the university, and the university offers apartment-style housing for students that need it. Several notable faculty teach at the graduate school, including author André Aciman, economist Paul Krugman, and author Michelle Fine. ",465,CUNY Graduate School and University Center,NY,10413,Urban,,,,,,New York,United States,New York,Northeast,,NY,Public,Doctoral Universities: Very High Research Activity,10,10413,3616,,,
"SUNY Oneonta is a public college within the State University of New York system with pre-professional specializations. <br>Undergraduates can choose from over 40 majors, as well as pre-health and pre-law advising tracks. Business, education and communications are among popular programs. The college also offers cooperative programs with other institutions, like with Clarkson University for an MBA,  a one-year program at the Fashion Institute of Technology and 3-2 engineering programs with a number of engineering schools. <br>SUNY Oneonta offers 13 study abroad programs and other short-term faculty-led trips. More than 500 students complete internships annually. <br>Students can engage with more than 100 student organizations and Greek life. Oneonta is located among the foothills of the Catskill Mountains. <br>SUNY Oneonta awarded more than $5.7 million in scholarships in 2020–21. Merit awards range up to $20,000 over four years for New York residents and $32,000 for students coming from out of state.",466,"SUNY, College at Oneonta",NY,7907,Rural,96200.0,,,http://www.oneonta.edu/home/default.asp,607/436-3500,Oneonta,United States,New York,Northeast,1889.0,NY,Public,Master's Colleges & Universities: Medium Programs,16,7907,7334,8834537.0,87.0,68.0
"Sarah Lawrence College emphasizes personal connection between faculty and students. The small private liberal arts college in Yonkers, NY, spans 44 acres and is a 30-minute train ride outside of Manhattan. <br>Sarah Lawrence College became coeducational in 1968, but female students make up about 71% of the student body. <br>Students do not have majors with course requirements, and instead work with faculty advisors to establish a course plan. Popular courses include creative writing and the performing arts.  <br>More than 75% of students receive a grant or scholarship. Students are automatically considered for merit scholarships. <br>Notable alumni include fashion designer Vera Wang, director J.J. Abrams, journalist Barbara Walters, and former Chicago mayor and member of Congress Rahm Emanuel.",467,Sarah Lawrence College,NY,1728,Suburban,121800.0,-73.843272,40.9347,http://www.slc.edu,(914) 337-0700,Bronxville,United States,New York,Northeast,1926.0,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,1728,1483,10584525.0,82.0,81.0
